Exception 
         479298 function calls (455231 primitive calls) in 1.364 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      195    0.000    0.000    0.049    0.000 _compiler.py:740(compile)
      390    0.000    0.000    0.001    0.000 enum.py:1562(__and__)
     3238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        9    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
  811/774    0.000    0.000    0.006    0.000 typing.py:392(inner)
    56/16    0.000    0.000    0.006    0.000 css_parser.py:925(parse_selectors)
      123    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
      240    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     3811    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      179    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
     2137    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1443    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
       13    0.000    0.000    0.002    0.000 enum.py:919(_convert_)
     1675    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1032    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
      546    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      257    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
      767    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
   633/10    0.000    0.000    0.168    0.017 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      240    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        2    0.000    0.000    0.003    0.002 parser.py:134(goahead)
        6    0.000    0.000    0.000    0.000 _headers.py:152(normalize_and_validate)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      752    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
      720    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      195    0.000    0.000    0.029    0.000 _parser.py:969(parse)
      480    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       79    0.000    0.000    0.002    0.000 css_parser.py:472(parse_attribute_selector)
       34    0.000    0.000    0.002    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1551    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
  270/267    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      280    0.000    0.000    0.000    0.000 _urlparse.py:223(<genexpr>)
      105    0.000    0.000    0.002    0.000 typing.py:687(Union)
      257    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      960    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1237    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    240/5    0.000    0.000    0.169    0.034 <frozen importlib._bootstrap_external>:989(exec_module)
  646/645    0.000    0.000    0.002    0.000 {built-in method builtins.next}
       68    0.000    0.000    0.000    0.000 _models.py:284(__getitem__)
 1325/949    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       95    0.000    0.000    0.003    0.000 dataclasses.py:449(_create_fn)
      862    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      365    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      525    0.000    0.000    0.000    0.000 enum.py:726(__call__)
      540    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      712    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
      106    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      293    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      175    0.000    0.000    0.001    0.000 __init__.py:829(endData)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      267    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      336    0.000    0.000    0.000    0.000 element.py:377(setup)
      195    0.000    0.000    0.019    0.000 _compiler.py:573(_code)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
        6    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
      421    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      296    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        3    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       16    0.000    0.000    0.001    0.000 _connection.py:272(_process_event)
     1024    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       91    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        3    0.000    0.000    0.319    0.106 http11.py:65(handle_request)
      124    0.000    0.000    0.000    0.000 element.py:1292(__new__)
      819    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        6    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      290    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      267    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      465    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
     1226    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:395(freeze)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      680    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
  215/175    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      356    0.000    0.000    0.000    0.000 _models.py:166(encoding)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       87    0.000    0.000    0.001    0.000 __init__.py:990(handle_starttag)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
