Exception 
         477663 function calls (453212 primitive calls) in 6.674 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
       87    0.000    0.000    0.002    0.000 __init__.py:990(handle_starttag)
       64    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      192    0.000    0.000    0.058    0.000 _compiler.py:740(compile)
      944    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
      110    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      384    0.000    0.000    0.001    0.000 enum.py:1562(__and__)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      873    0.000    0.000    0.001    0.000 typing.py:1188(__setattr__)
       11    0.000    0.000    0.001    0.000 request.py:2505(getproxies_environment)
      124    0.000    0.000    0.001    0.000 element.py:1292(__new__)
       88    0.000    0.000    0.001    0.000 element.py:1627(__init__)
        3    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
     1364    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1754    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
    56/16    0.000    0.000    0.006    0.000 css_parser.py:925(parse_selectors)
       87    0.000    0.000    0.000    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        3    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      804    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
     3823    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
     1265    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
     2671    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
    193/3    0.000    0.000    0.327    0.109 <frozen importlib._bootstrap>:911(_load_unlocked)
    71/40    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       21    0.000    0.000    0.744    0.035 __init__.py:1(<module>)
      413    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
  495/470    0.000    0.000    0.003    0.000 typing.py:392(inner)
     1007    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
       10    0.000    0.000    0.002    0.000 enum.py:919(_convert_)
      942    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       87    0.000    0.000    0.003    0.000 _htmlparser.py:142(handle_starttag)
      535    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      165    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      192    0.000    0.000    0.035    0.000 _parser.py:969(parse)
     1543    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      137    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
        3    0.000    0.000    0.002    0.001 connection.py:418(request)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        2    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       30    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        3    0.000    0.000    0.356    0.119 connection.py:534(getresponse)
     1007    0.000    0.000    0.000    0.000 {built-in method fromkeys}
    462/6    0.000    0.000    0.325    0.054 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      951    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      321    0.000    0.000    0.000    0.000 _markupbase.py:44(updatepos)
       79    0.000    0.000    0.002    0.000 css_parser.py:472(parse_attribute_selector)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       71    0.000    0.000    0.002    0.000 parser.py:379(parse_endtag)
      124    0.000    0.000    0.001    0.000 __init__.py:870(object_was_parsed)
        6    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
     1217    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        3    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
      165    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       19    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
      484    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
       31    0.000    0.000    0.001    0.000 copy.py:61(copy)
  276/270    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        7    0.000    0.000    0.000    0.000 socket.py:221(__init__)
    165/3    0.000    0.000    0.327    0.109 <frozen importlib._bootstrap_external>:989(exec_module)
        3    0.000    0.000    0.939    0.313 connection.py:718(connect)
      292    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        3    0.000    0.000    0.806    0.269 connection.py:895(_ssl_wrap_socket_and_match_hostname)
        3    0.000    0.000    0.005    0.002 ssl_.py:225(create_urllib3_context)
      3/1    0.000    0.000    1.312    1.312 sessions.py:673(send)
      5/3    0.000    0.000    0.995    0.332 sessions.py:159(resolve_redirects)
      583    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      118    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
      330    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        3    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
      535    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      489    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
       88    0.000    0.000    0.000    0.000 __init__.py:812(pushTag)
       85    0.000    0.000    0.000    0.000 __init__.py:953(_popToTag)
      495    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
  193/189    0.000    0.000    0.185    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
      333    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      124    0.000    0.000    0.000    0.000 __init__.py:735(string_container)
      112    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      140    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
      948    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  585/579    0.000    0.000    0.005    0.000 {built-in method builtins.next}
     1076    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      145    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
      192    0.000    0.000    0.022    0.000 _compiler.py:573(_code)
       24    0.000    0.000    0.000    0.000 message.py:494(get)
        3    0.000    0.000    1.297    0.432 connectionpool.py:377(_make_request)
       55    0.000    0.000    0.001    0.000 cookiejar.py:620(request_host)
      192    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      151    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        3    0.000    0.000    0.355    0.118 client.py:324(begin)
        6    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
       50    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
      115    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
  215/178    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        3    0.000    0.000    0.352    0.117 client.py:291(_read_status)
       18    0.000    0.000    0.001    0.000 cookiejar.py:1096(return_ok)
      484    0.000    0.000    0.001    0.000 <frozen _collections_abc>:868(__iter__)
      753    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        3    0.000    0.000    0.000    0.000 socket.py:304(makefile)
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        3    0.000    0.000    0.000    0.000 _collections.py:335(extend)
       22    0.000    0.000    0.000    0.000 message.py:529(get_all)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       28    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
       11    0.000    0.000    0.001    0.000 cookiejar.py:1599(make_cookies)
       62    0.000    0.000    0.001    0.000 typing.py:687(Union)
       30    0.000    0.000    0.001    0.000 connection.py:404(putheader)
        1    0.000    0.000    1.339    1.339 financial.py:5(financial)
        6    0.000    0.000    0.001    0.000 typing.py:2780(__new__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:395(freeze)
      201    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:789(popTag)
        3    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
  768/702    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       31    0.000    0.000    0.000    0.000 cookies.py:349(set_cookie)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.001    0.001 filter.py:130(filter)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       34    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
