Exception 
         477470 function calls (453051 primitive calls) in 1.409 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
     1364    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
      804    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       21    0.000    0.000    0.403    0.019 __init__.py:1(<module>)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
    193/3    0.000    0.000    0.168    0.056 <frozen importlib._bootstrap>:911(_load_unlocked)
     2671    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       10    0.000    0.000    0.002    0.000 enum.py:919(_convert_)
        2    0.000    0.000    0.003    0.002 parser.py:134(goahead)
     1828    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      165    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     1754    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      137    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1007    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      192    0.000    0.000    0.033    0.000 _parser.py:969(parse)
      126    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
     1543    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       79    0.000    0.000    0.002    0.000 css_parser.py:472(parse_attribute_selector)
      951    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
     1217    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       11    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        3    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
    462/6    0.000    0.000    0.167    0.028 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1007    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      535    0.000    0.000    0.000    0.000 enum.py:726(__call__)
        3    0.000    0.000    0.001    0.000 connection.py:418(request)
  495/470    0.000    0.000    0.003    0.000 typing.py:392(inner)
      165    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      413    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
     1265    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      175    0.000    0.000    0.001    0.000 __init__.py:829(endData)
      333    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      495    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        3    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      330    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      942    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      948    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  193/189    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
      192    0.000    0.000    0.021    0.000 _compiler.py:573(_code)
    165/3    0.000    0.000    0.168    0.056 <frozen importlib._bootstrap_external>:989(exec_module)
      112    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
      151    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      192    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      336    0.000    0.000    0.000    0.000 element.py:377(setup)
       11    0.000    0.000    0.001    0.000 request.py:2505(getproxies_environment)
       62    0.000    0.000    0.001    0.000 typing.py:687(Union)
      124    0.000    0.000    0.000    0.000 element.py:1292(__new__)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
       87    0.000    0.000    0.001    0.000 __init__.py:990(handle_starttag)
      535    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      110    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
  215/178    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:395(freeze)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
  768/702    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       30    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        6    0.000    0.000    0.001    0.000 typing.py:2780(__new__)
       87    0.000    0.000    0.000    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        7    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       28    0.000    0.000    0.004    0.000 enum.py:254(__set_name__)
      753    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      583    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       88    0.000    0.000    0.000    0.000 element.py:1627(__init__)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
  585/579    0.000    0.000    0.003    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 constant.py:1(<module>)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      484    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        3    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
       33    0.000    0.000    0.000    0.000 queue.py:122(put)
  276/270    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       87    0.000    0.000    0.001    0.000 _htmlparser.py:142(handle_starttag)
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1076    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       23    0.000    0.000    0.004    0.000 enum.py:528(__new__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      649    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      220    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
        3    0.000    0.000    0.703    0.234 connection.py:895(_ssl_wrap_socket_and_match_hostname)
     1129    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        3    0.000    0.000    0.418    0.139 connection.py:534(getresponse)
        3    0.000    0.000    0.805    0.268 connection.py:718(connect)
       71    0.000    0.000    0.001    0.000 parser.py:379(parse_endtag)
        3    0.000    0.000    0.003    0.001 ssl_.py:225(create_urllib3_context)
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      743    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      660    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      649    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       30    0.000    0.000    0.000    0.000 connection.py:404(putheader)
        2    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      124    0.000    0.000    0.000    0.000 __init__.py:870(object_was_parsed)
      489    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       84    0.000    0.000    0.000    0.000 typing_extensions.py:3228(_collect_parameters)
     1129    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      5/3    0.000    0.000    1.012    0.337 sessions.py:159(resolve_redirects)
      118    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
      299    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      797    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       19    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
      321    0.000    0.000    0.000    0.000 _markupbase.py:44(updatepos)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      3/1    0.000    0.000    1.232    1.232 sessions.py:673(send)
        2    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      140    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
      292    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      141    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
      249    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      253    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       54    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      490    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      215    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      484    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
        3    0.000    0.000    0.642    0.214 ssl.py:956(_create)
       55    0.000    0.000    0.000    0.000 cookiejar.py:620(request_host)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      192    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      327    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.024    0.024 dammit.py:1(<module>)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       37    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      145    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
  166/163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      355    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      428    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
    71/40    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        6    0.000    0.000    0.000    0.000 feedparser.py:216(_parsegen)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
       84    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
       85    0.000    0.000    0.000    0.000 __init__.py:953(_popToTag)
      327    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      199    0.000    0.000    0.000    0.000 css_types.py:360(__init__)
      515    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      124    0.000    0.000    0.000    0.000 __init__.py:735(string_container)
        6    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
       31    0.000    0.000    0.000    0.000 copy.py:61(copy)
      261    0.000    0.000    0.056    0.000 __init__.py:226(compile)
      384    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      201    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      277    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        3    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
       18    0.000    0.000    0.000    0.000 cookiejar.py:1096(return_ok)
      368    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    1.225    0.408 connectionpool.py:377(_make_request)
        3    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
       11    0.000    0.000    0.001    0.000 cookiejar.py:1599(make_cookies)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      532    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       88    0.000    0.000    0.000    0.000 __init__.py:812(pushTag)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      506    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       50    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
      299    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      138    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
